# FEN	d4move	d6move  (cref_mos = exact 6502 config; regenerate with gen_golden.py)
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1	d2d4	d2d4
r3k2r/pppppppp/8/8/8/8/PPPPPPPP/R3K2R w KQkq - 0 1	d2d4	h2h4
r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1	e2a6	e2a6
rnbqkbnr/ppp1p1pp/8/3pPp2/8/8/PPPP1PPP/RNBQKBNR w KQkq f6 0 3	d2d4	d2d4
8/P6k/8/8/8/8/6Kp/8 w - - 0 1	g2h2	a7a8q
r3k2r/Pppp1ppp/1b3nbN/nP6/BBP1P3/q4N2/Pp1P2PP/R2Q1RK1 w kq - 0 1	c4c5	c4c5
rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq - 1 3	a8a8	a8a8
8/8/8/4k3/8/8/4P3/4K3 w - - 0 1	e1f2	e2e3
8/8/4k3/8/8/8/4p3/R3K3 w - - 0 1	a1a5	a1a5
8/8/4k3/8/8/3QK3/8/6r1 w - - 0 1	d3h7	d3h7
6k1/R7/6K1/8/8/8/8/8 w - - 0 1	a7a8	a7a8
6k1/5ppp/8/8/8/8/5PPP/R5K1 w - - 0 1	a1a8	a1a8
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	d2d4	d2d4
rnbqkb1r/pp3ppp/4pn2/2ppP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5	e5f6	e5f6
r2q1rk1/ppp2ppp/2np1n2/2b1p1B1/2B1P1b1/2NP1N2/PPP2PPP/R2Q1RK1 w - - 0 8	h2h3	c3d5
8/5pk1/6p1/4P1P1/5K2/8/8/8 w - - 0 1	f4e4	f4e4
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4	d2d4	d2d4
8/8/3k4/8/P7/2PK4/8/8 w - - 2 63	a4a5	c3c4
8/8/2p2K2/8/p3r3/1p2k3/8/8 w - - 0 70	f6g7	f6g5
5b2/2pk1p2/1r6/pP1P1p2/3P3p/7P/1r3PP1/2R1RK2 w - - 1 27	e1e5	e1e5
3qk3/1p2bp2/n1p2np1/3p4/r4PP1/4P3/P1PP4/R1BQK1NB w Q - 1 15	d2d4	c2c3
8/1B2k3/8/1Pp1n2p/7P/P2q2P1/2R5/1K6 w - - 0 40	a3a4	a3a4
8/3Pq1pk/8/pp2p2p/4Pr1P/3Q4/P2P2K1/2R5 w - - 1 33	d7d8q	d7d8q
8/8/5K2/8/5kr1/8/2q5/8 w - - 4 73	f6e6	f6e6
2r5/p2b1kp1/p7/8/2nN1P2/3K4/6pP/8 w - - 0 39	d4f3	d4e2
k2r4/pp3P2/8/2PNN2p/4B3/P2K3P/3P4/R1B2R2 w - - 0 33	f7f8q	f7f8q
r5k1/5b2/2pB4/1pP5/8/5PK1/6P1/8 w - - 5 52	g3h4	g3f2
2r1k2r/p7/1ppbbppp/2p5/1P2PP2/P6P/2Q3P1/5RK1 w - - 0 28	f4f5	e4e5
3r4/5pk1/3n2b1/p5p1/P7/2p2P2/4BPK1/3R4 w - - 2 38	e2b5	e2f1
3kr3/p1b2np1/5p2/nr6/R4N2/4P1P1/PP3P1P/1K5R w - - 0 29	h1d1	f4g6
N3kr2/5ppp/b7/1np1P3/4P3/1P1N4/PB1Q2PP/R3K2R w KQ - 3 24	d3c5	d3c5
3r4/p1p3pk/1n5p/2b1p3/P1P1P2P/5PPN/1P1N4/R1BK3R w - - 3 22	d1c2	d1c2
